Station_Id_C Year_Data Mon_Data Day_Data Hour_Data TEM PRE_1h
45007 2017 10 20 12 16.4000 999999.0000 
45007 2017 10 20 13 16.5000 999999.0000 
45007 2017 10 20 14 16.5000 999999.0000 
45007 2017 10 20 15 23.3000 999999.0000 
45007 2017 10 20 15 16.4000 999999.0000 
45007 2017 10 20 16 16.3000 999999.0000 
45007 2017 10 20 17 16.3000 999999.0000 
45007 2017 10 20 18 22.7000 999999.0000 
45007 2017 10 20 18 16.5000 999999.0000 
45007 2017 10 20 19 16.9000 999999.0000 
45007 2017 10 20 20 17.4000 999999.0000 
45007 2017 10 20 21 22.6000 999999.0000 
45007 2017 10 20 21 17.9000 999999.0000 
45007 2017 10 20 22 18.5000 999999.0000 
45007 2017 10 20 23 18.4000 999999.0000 
45007 2017 10 21 0 23.2000 999999.0000 
45007 2017 10 21 0 18.3000 999999.0000 
45007 2017 10 21 0 23.2000 999999.0000 
45007 2017 10 21 1 18.3000 999999.0000 
45007 2017 10 21 2 18.3000 999999.0000 
45007 2017 10 21 3 25.4000 999999.0000 
45007 2017 10 21 3 18.3000 999999.0000 
45007 2017 10 21 4 17.7000 999999.0000 
45007 2017 10 21 5 17.7000 999999.0000 
45007 2017 10 21 6 17.5000 999999.0000 
45007 2017 10 21 6 26.8000 999999.0000 
45007 2017 10 21 7 17.4000 999999.0000 
45007 2017 10 21 8 17.2000 999999.0000 
45007 2017 10 21 9 26.1000 999999.0000 
45007 2017 10 21 9 16.9000 999999.0000 
45007 2017 10 21 10 16.8000 999999.0000 
45007 2017 10 21 11 16.8000 999999.0000 
45007 2017 10 21 12 24.9000 999999.0000 
45007 2017 10 21 12 16.8000 999999.0000 
45007 2017 10 21 13 16.6000 999999.0000 
45007 2017 10 21 14 16.6000 999999.0000 
45007 2017 10 21 15 22.9000 999999.0000 
45007 2017 10 21 15 16.7000 999999.0000 
45007 2017 10 21 16 16.7000 999999.0000 
45007 2017 10 21 17 16.7000 999999.0000 
45007 2017 10 21 18 21.9000 999999.0000 
45007 2017 10 21 18 17.0000 999999.0000 
45007 2017 10 21 19 17.6000 999999.0000 
45007 2017 10 21 20 17.9000 999999.0000 
45007 2017 10 21 21 20.9000 999999.0000 
45007 2017 10 21 21 18.1000 999999.0000 
45007 2017 10 21 22 18.2000 999999.0000 
45007 2017 10 21 23 18.5000 999999.0000 
45007 2017 10 22 0 18.7000 999999.0000 
45007 2017 10 22 1 18.0000 999999.0000 
45007 2017 10 22 2 18.1000 999999.0000 
45007 2017 10 22 3 24.4000 999999.0000 
45007 2017 10 22 3 17.9000 999999.0000 
45007 2017 10 22 4 17.8000 999999.0000 
45007 2017 10 22 5 17.9000 999999.0000 
45007 2017 10 22 6 25.8000 999999.0000 
45007 2017 10 22 6 17.8000 999999.0000 
45007 2017 10 22 7 17.5000 999999.0000 
45007 2017 10 22 8 17.5000 999999.0000 
45007 2017 10 22 9 26.0000 999999.0000 
45007 2017 10 22 9 17.4000 999999.0000 
45007 2017 10 22 10 17.3000 999999.0000 
45007 2017 10 22 11 17.4000 999999.0000 
45007 2017 10 22 12 25.1000 999999.0000 
45007 2017 10 22 12 17.3000 999999.0000 
45007 2017 10 22 13 17.5000 999999.0000 
45007 2017 10 22 14 17.4000 999999.0000 
45007 2017 10 22 15 23.0000 999999.0000 
45007 2017 10 22 15 17.2000 999999.0000 
45007 2017 10 22 16 17.1000 999999.0000 
45007 2017 10 22 17 17.2000 999999.0000 
45007 2017 10 22 18 21.2000 999999.0000 
45007 2017 10 22 18 17.4000 999999.0000 
45007 2017 10 22 19 17.4000 999999.0000 
45007 2017 10 22 20 17.2000 999999.0000 
45007 2017 10 22 21 12.4000 999999.0000 
45007 2017 10 22 21 20.8000 999999.0000 
45007 2017 10 22 21 20.8000 999999.0000 
45007 2017 10 22 22 12.6000 999999.0000 
45007 2017 10 22 23 12.4000 999999.0000 
45007 2017 10 23 0 21.9000 999999.0000 
45007 2017 10 23 0 12.4000 999999.0000 
45007 2017 10 23 1 12.4000 999999.0000 
45007 2017 10 23 2 12.8000 999999.0000 
45007 2017 10 23 3 25.4000 999999.0000 
45007 2017 10 23 3 13.0000 999999.0000 
45007 2017 10 23 4 12.9000 999999.0000 
45007 2017 10 23 5 12.7000 999999.0000 
45007 2017 10 23 6 26.4000 999999.0000 
45007 2017 10 23 6 12.5000 999999.0000 
45007 2017 10 23 7 12.4000 999999.0000 
45007 2017 10 23 8 12.2000 999999.0000 
45007 2017 10 23 9 26.6000 999999.0000 
45007 2017 10 23 9 12.0000 999999.0000 
45007 2017 10 23 10 12.3000 999999.0000 
45007 2017 10 23 11 12.6000 999999.0000 
45007 2017 10 23 12 12.5000 999999.0000 
45007 2017 10 23 13 12.6000 999999.0000 
45007 2017 10 23 14 12.7000 999999.0000 
45007 2017 10 23 15 24.4000 999999.0000 
45007 2017 10 23 15 12.7000 999999.0000 
45007 2017 10 23 16 12.4000 999999.0000 
45007 2017 10 23 17 12.5000 999999.0000 
45007 2017 10 23 18 23.1000 999999.0000 
45007 2017 10 23 18 12.1000 999999.0000 
45007 2017 10 23 19 12.4000 999999.0000 
45007 2017 10 23 20 12.6000 999999.0000 
45007 2017 10 23 21 23.2000 999999.0000 
45007 2017 10 23 21 12.5000 999999.0000 
45007 2017 10 23 22 13.0000 999999.0000 
45007 2017 10 23 23 12.8000 999999.0000 
45007 2017 10 24 0 23.5000 999999.0000 
45007 2017 10 24 0 12.8000 999999.0000 
45007 2017 10 24 1 12.6000 999999.0000 
45007 2017 10 24 2 12.6000 999999.0000 
45007 2017 10 24 3 26.9000 999999.0000 
45007 2017 10 24 3 12.4000 999999.0000 
45007 2017 10 24 4 12.1000 999999.0000 
45007 2017 10 24 5 12.2000 999999.0000 
45007 2017 10 24 6 26.6000 999999.0000 
45007 2017 10 24 6 12.1000 999999.0000 
45007 2017 10 24 6 12.1000 999999.0000 
45007 2017 10 24 7 12.1000 999999.0000 
45007 2017 10 24 8 11.6000 999999.0000 
45007 2017 10 24 9 26.2000 999999.0000 
45007 2017 10 24 9 11.3000 999999.0000 
45007 2017 10 24 10 11.1000 999999.0000 
45007 2017 10 24 11 11.2000 999999.0000 
45007 2017 10 24 12 24.7000 999999.0000 
45007 2017 10 24 12 11.1000 999999.0000 
45007 2017 10 24 13 11.0000 999999.0000 
45007 2017 10 24 14 10.7000 999999.0000 
45007 2017 10 24 15 24.8000 999999.0000 
45007 2017 10 24 15 10.6000 999999.0000 
45007 2017 10 24 16 10.2000 999999.0000 
45007 2017 10 24 17 9.8000 999999.0000 
45007 2017 10 24 18 24.4000 999999.0000 
45007 2017 10 24 18 9.8000 999999.0000 
45007 2017 10 24 19 9.6000 999999.0000 
45007 2017 10 24 20 9.5000 999999.0000 
45007 2017 10 24 21 23.4000 999999.0000 
45007 2017 10 24 21 9.5000 999999.0000 
45007 2017 10 24 22 9.5000 999999.0000 
45007 2017 10 24 23 9.4000 999999.0000 
45007 2017 10 25 0 9.4000 999999.0000 
45007 2017 10 25 0 23.7000 999999.0000 
45007 2017 10 25 1 9.3000 999999.0000 
45007 2017 10 25 2 9.5000 999999.0000 
45007 2017 10 25 3 26.6000 999999.0000 
45007 2017 10 25 3 9.7000 999999.0000 
45007 2017 10 25 4 9.5000 999999.0000 
45007 2017 10 25 4 9.5000 999999.0000 
45007 2017 10 25 5 9.4000 999999.0000 
45007 2017 10 25 6 27.9000 999999.0000 
45007 2017 10 25 6 9.1000 999999.0000 
45007 2017 10 25 7 8.8000 999999.0000 
45007 2017 10 25 8 8.3000 999999.0000 
45007 2017 10 25 9 7.6000 999999.0000 
45007 2017 10 25 9 26.0000 999999.0000 
45007 2017 10 25 10 7.8000 999999.0000 
45007 2017 10 25 11 7.4000 999999.0000 
45007 2017 10 25 12 25.3000 999999.0000 
45007 2017 10 25 12 7.3000 999999.0000 
45007 2017 10 25 13 6.8000 999999.0000 
45007 2017 10 25 14 6.9000 999999.0000 
45007 2017 10 25 15 24.7000 999999.0000 
45007 2017 10 25 15 6.9000 999999.0000 
45007 2017 10 25 16 6.8000 999999.0000 
45007 2017 10 25 17 6.9000 999999.0000 
45007 2017 10 25 18 23.9000 999999.0000 
45007 2017 10 25 18 6.9000 999999.0000 
45007 2017 10 25 19 7.0000 999999.0000 
45007 2017 10 25 20 7.5000 999999.0000 
45007 2017 10 25 21 23.4000 999999.0000 
45007 2017 10 25 21 8.0000 999999.0000 
45007 2017 10 25 22 8.4000 999999.0000 
45007 2017 10 25 23 8.2000 999999.0000 
45007 2017 10 26 0 24.3000 999999.0000 
45007 2017 10 26 0 8.4000 999999.0000 
45007 2017 10 26 1 8.4000 999999.0000 
45007 2017 10 26 2 8.6000 999999.0000 
45007 2017 10 26 3 27.3000 999999.0000 
45007 2017 10 26 3 8.7000 999999.0000 
45007 2017 10 26 4 8.9000 999999.0000 
45007 2017 10 26 5 9.2000 999999.0000 
45007 2017 10 26 6 27.4000 999999.0000 
45007 2017 10 26 6 9.2000 999999.0000 
45007 2017 10 26 7 9.4000 999999.0000 
45007 2017 10 26 8 9.6000 999999.0000 
45007 2017 10 26 9 26.8000 999999.0000 
45007 2017 10 26 9 9.8000 999999.0000 
45007 2017 10 26 10 10.0000 999999.0000 
45007 2017 10 26 11 10.2000 999999.0000 
45007 2017 10 26 12 25.1000 999999.0000 
45007 2017 10 26 12 10.2000 999999.0000 
45007 2017 10 26 12 10.2000 999999.0000 
45007 2017 10 26 13 10.2000 999999.0000 
45007 2017 10 26 14 10.2000 999999.0000 
45007 2017 10 26 15 24.7000 999999.0000 
45007 2017 10 26 15 10.3000 999999.0000 
45007 2017 10 26 16 10.4000 999999.0000 
45007 2017 10 26 17 10.5000 999999.0000 
45007 2017 10 26 18 23.6000 999999.0000 
45007 2017 10 26 18 10.8000 999999.0000 
45007 2017 10 26 19 11.4000 999999.0000 
45007 2017 10 26 20 11.9000 999999.0000 
45007 2017 10 26 21 24.2000 999999.0000 
45007 2017 10 26 21 12.4000 999999.0000 
45007 2017 10 26 22 12.9000 999999.0000 
45007 2017 10 26 23 13.2000 999999.0000 
45007 2017 10 27 0 24.9000 999999.0000 
45007 2017 10 27 0 13.2000 999999.0000 
45007 2017 10 27 1 13.1000 999999.0000 
45007 2017 10 27 2 13.1000 999999.0000 
45007 2017 10 27 3 27.2000 999999.0000 
45007 2017 10 27 3 13.2000 999999.0000 
45007 2017 10 27 4 13.3000 999999.0000 
45007 2017 10 27 5 13.7000 999999.0000 
45007 2017 10 27 6 13.9000 999999.0000 
45007 2017 10 27 6 28.8000 999999.0000 
45007 2017 10 27 7 14.4000 999999.0000 
45007 2017 10 27 8 13.1000 999999.0000 
45007 2017 10 27 9 28.0000 999999.0000 
45007 2017 10 27 9 11.7000 999999.0000 
45007 2017 10 27 10 10.0000 999999.0000 
45007 2017 10 27 11 8.6000 999999.0000 
45007 2017 10 27 12 26.0000 999999.0000 
45007 2017 10 27 12 7.5000 999999.0000 
45007 2017 10 27 13 6.8000 999999.0000 
45007 2017 10 27 14 6.0000 999999.0000 
45007 2017 10 27 15 24.8000 999999.0000 
